race_eth,yr10.14,yr15.19,yr20.24,yr25.29,yr2030
Non-Hisp White,56953351,57173954,51311823,48479814,9436084
Non-Hisp White,57098308,57287587,138174540,180249686,38837399
Non-Hisp White,57007571,57461353,51907862,50105397,10116666
Non-Hisp White,59918764,57327886,54416640,51147467,10066090
Non-Hisp White,64675503,59874186,56882062,54511226,10579261
Non-Hisp White,64717881,65064017,60546931,57650507,11215187
Non-Hisp White,62601661,65198883,64714367,60984779,11804545
Non-Hisp White,58425725,62758067,62898249,64360826,12645682
Non-Hisp White,65390416,58327091,60307237,62162368,12710743
Non-Hisp White,72158687,64857920,56822906,59532079,12273407
Non-Hisp White,78644679,71060067,63044623,55877980,11345729
Non-Hisp White,74478115,76748663,68424920,61463008,11361898
Non-Hisp White,66072598,71620096,73456580,66047255,12215197
Non-Hisp White,52427214,62114943,67966837,69871708,13477685
Non-Hisp White,38718791,47664895,57821424,63045673,13040816
Non-Hisp White,29579172,33362647,42644865,51222069,10797586
Non-Hisp White,23367382,23173565,27379911,34784394,8014463
Non-Hisp White,25283256,26379550,27430476,31197550,6984534
Non-Hisp Black,14321725,14686788,14755477,14788463,2940730
Non-Hisp Black,13917240,14435426,17824560,22913001,5209213
Non-Hisp Black,14114542,14067204,14110756,14201516,2953685
Non-Hisp Black,15180147,14293113,14303011,14312754,2844548
Non-Hisp Black,16233309,15247110,14877063,14687342,2974362
Non-Hisp Black,14982015,16367368,16223662,15484158,3013880
Non-Hisp Black,14201925,15151981,17008984,16722032,3193658
Non-Hisp Black,12682125,14250610,14634547,17089459,3537311
Non-Hisp Black,12966978,12632947,13617751,14492914,3192074
Non-Hisp Black,13268578,12785002,12427754,13481977,2786273
Non-Hisp Black,13095311,12915699,12639401,12264762,2558976
Non-Hisp Black,11241612,12562957,12673900,12340544,2424088
Non-Hisp Black,8874299,10566981,12223341,12186436,2359985
Non-Hisp Black,6099655,8115711,10155930,11508821,2338599
Non-Hisp Black,4353221,5352743,7519439,9244250,2039519
Non-Hisp Black,3144120,3569499,4774039,6513201,1473648
Non-Hisp Black,2112268,2337258,2941302,3838912,939844
Non-Hisp Black,2026432,2244992,2722988,3316638,756202
Non-Hisp NA/AI,1029982,1084221,883042,832330,165024
Non-Hisp NA/AI,947898,1030646,1092444,1351463,306247
Non-Hisp NA/AI,874892,949148,885524,828173,164670
Non-Hisp NA/AI,916044,875514,890292,860704,167730
Non-Hisp NA/AI,1026052,910591,888567,881614,175189
Non-Hisp NA/AI,994431,1024616,939215,896254,175341
Non-Hisp NA/AI,882943,993958,989382,939311,180428
Non-Hisp NA/AI,764949,880227,867170,959907,196009
Non-Hisp NA/AI,765480,760581,777206,826791,179194
Non-Hisp NA/AI,802250,757581,705212,750103,157409
Non-Hisp NA/AI,816715,789136,713389,680011,140886
Non-Hisp NA/AI,719258,796725,743032,682216,132577
Non-Hisp NA/AI,588299,691476,739068,699141,130832
Non-Hisp NA/AI,421279,553084,618436,679418,136577
Non-Hisp NA/AI,290237,383144,465512,546133,119670
Non-Hisp NA/AI,193096,250145,302528,388203,86664
Non-Hisp NA/AI,118870,151671,179031,231969,56515
Non-Hisp NA/AI,95310,121458,146056,185158,43398
Non-Hisp Asian/PI,4521204,4666536,5699041,6293246,1300464
Non-Hisp Asian/PI,4573345,4828921,8745009,11945065,2702599
Non-Hisp Asian/PI,4382915,4919367,5531930,6056380,1289868
Non-Hisp Asian/PI,4504657,4809582,5798979,6159845,1276065
Non-Hisp Asian/PI,4711761,4994769,6472054,7248695,1486238
Non-Hisp Asian/PI,5169148,5456283,7646978,8441268,1760603
Non-Hisp Asian/PI,6033614,6064630,8555402,9308263,1889306
Non-Hisp Asian/PI,6507748,6521877,8354264,9725701,1992128
Non-Hisp Asian/PI,6254036,6734731,7897759,9154509,1963195
Non-Hisp Asian/PI,5381430,6380783,7429928,8322389,1800838
Non-Hisp Asian/PI,4839661,5425602,6834350,7613817,1589539
Non-Hisp Asian/PI,4267010,4827334,5962007,7018677,1507934
Non-Hisp Asian/PI,3595894,4212694,5405279,6143384,1314484
Non-Hisp Asian/PI,2573312,3474955,4645212,5429718,1160821
Non-Hisp Asian/PI,1809619,2390191,3705864,4518092,985418
Non-Hisp Asian/PI,1250755,1572281,2510397,3466255,766258
Non-Hisp Asian/PI,813324,985244,1566974,2177530,535410
Non-Hisp Asian/PI,648635,830379,1350854,1783188,415513
Hispanic,24971468,27205989,25569868,26235768,5443206
Hispanic,24065684,26217701,19763360,22848090,5362479
Hispanic,22319228,25407991,26005866,25761387,5120720
Hispanic,21443166,23930260,26023639,26931567,5405289
Hispanic,20519615,23022688,25328118,27719180,5769746
Hispanic,19017250,22031792,25029066,27177652,5702087
Hispanic,20040412,20361437,24141901,26545328,5523799
Hispanic,19666142,20848652,22431293,25213078,5377713
Hispanic,17991504,20090026,21664026,23059243,4849649
Hispanic,15699446,18213405,19913207,21762465,4536944
Hispanic,13145107,15770071,17826960,19571767,4135524
Hispanic,10189482,13091232,15414168,17460617,3729507
Hispanic,7686853,10048219,12790828,15086381,3243329
Hispanic,5446662,7436509,9706632,12307536,2755439
Hispanic,3814904,5110361,6986926,9148169,2126274
Hispanic,2733520,3406683,4669322,6331396,1481782
Hispanic,1875547,2255884,2925062,3956717,959913
Hispanic,1720588,2273147,2751186,3411808,794510
