"IM Race-Ethnicity no Unknown","Age at death 18_Age Categories for NordPred","IM Subsite","IM Histology with All","IM 5-year LATEST","Crude Rate","Count","Population"
0,0,0,0,0,^,^,19983795
0,0,0,0,1,^,^,19216937
0,0,0,0,2,^,^,18347281
0,0,0,0,3,^,^,17890357
0,0,0,1,0,^,^,19983795
0,0,0,1,1,^,^,19216937
0,0,0,1,2,^,^,18347281
0,0,0,1,3,^,^,17890357
0,0,0,2,0,^,^,19983795
0,0,0,2,1,^,^,19216937
0,0,0,2,2,^,^,18347281
0,0,0,2,3,^,^,17890357
0,0,1,0,0,^,^,19983795
0,0,1,0,1,^,^,19216937
0,0,1,0,2,^,^,18347281
0,0,1,0,3,^,^,17890357
0,0,1,1,0,^,^,19983795
0,0,1,1,1,^,^,19216937
0,0,1,1,2,^,^,18347281
0,0,1,1,3,^,^,17890357
0,0,1,2,0,^,^,19983795
0,0,1,2,1,^,^,19216937
0,0,1,2,2,^,^,18347281
0,0,1,2,3,^,^,17890357
0,0,2,0,0,^,^,19983795
0,0,2,0,1,^,^,19216937
0,0,2,0,2,^,^,18347281
0,0,2,0,3,^,^,17890357
0,0,2,1,0,^,^,19983795
0,0,2,1,1,^,^,19216937
0,0,2,1,2,^,^,18347281
0,0,2,1,3,^,^,17890357
0,0,2,2,0,^,^,19983795
0,0,2,2,1,^,^,19216937
0,0,2,2,2,^,^,18347281
0,0,2,2,3,^,^,17890357
0,0,3,0,0,^,^,19983795
0,0,3,0,1,^,^,19216937
0,0,3,0,2,^,^,18347281
0,0,3,0,3,^,^,17890357
0,0,3,1,0,^,^,19983795
0,0,3,1,1,^,^,19216937
0,0,3,1,2,^,^,18347281
0,0,3,1,3,^,^,17890357
0,0,3,2,0,^,^,19983795
0,0,3,2,1,^,^,19216937
0,0,3,2,2,^,^,18347281
0,0,3,2,3,^,^,17890357
0,1,0,0,0,^,^,20997420
0,1,0,0,1,^,^,19497225
0,1,0,0,2,^,^,19078802
0,1,0,0,3,^,^,18253351
0,1,0,1,0,^,^,20997420
0,1,0,1,1,^,^,19497225
0,1,0,1,2,^,^,19078802
0,1,0,1,3,^,^,18253351
0,1,0,2,0,^,^,20997420
0,1,0,2,1,^,^,19497225
0,1,0,2,2,^,^,19078802
0,1,0,2,3,^,^,18253351
0,1,1,0,0,^,^,20997420
0,1,1,0,1,^,^,19497225
0,1,1,0,2,^,^,19078802
0,1,1,0,3,^,^,18253351
0,1,1,1,0,^,^,20997420
0,1,1,1,1,^,^,19497225
0,1,1,1,2,^,^,19078802
0,1,1,1,3,^,^,18253351
0,1,1,2,0,^,^,20997420
0,1,1,2,1,^,^,19497225
0,1,1,2,2,^,^,19078802
