yr00_04,yr05_09,yr10_14,yr15_19,yr20_24,yr25_29,yr30_34
NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,0,0,0
NA,NA,11,NA,15.932243244272522,17.3832309684705,18.165700180906796
NA,25,27,10,55.41400957829662,59.78746187836961,65.03933782787355
43,47,52,30,123.75785875066674,134.69937206775947,145.04703822978635
60,49,71,54,186.2108460666038,206.84307775311044,224.9029747805247
84,78,116,84,137.64779844543466,73.08889777237553,36.112745827937914
117,146,133,105,267.9317946232002,162.40245153749783,88.37745393356609
115,148,153,144,288.200846419517,259.0398016199668,156.77469797164395
152,138,222,168,375.250030188646,310.3193283304814,280.10144570383534
160,195,195,208,470.44353801974944,388.83333701381565,322.6568616968957
225,218,215,186,553.5544491063231,466.5201820240731,386.08849715272885
268,238,225,200,446.6004324297103,487.3641690848174,407.7263391803982
259,276,236,181,464.22739345743,368.65914924509894,400.5584323883811
187,200,216,161,332.42648879735606,293.20253587971126,225.09168708488428
167,198,217,199,411.97547333317704,305.82680018035455,259.81100490531423
