"IM Race-Ethnicity no Unknown","IM Modelling Subsite","18_Age Categories for NordPred","IM Histology with All","Incidence 5-year LATEST","Crude Rate","Count","Population"
0,0,0,0,0,0.01,2,23869573
0,0,0,0,1,0.00,1,22762170
0,0,0,0,2,0.00,1,21668428
0,0,0,0,3,0.00,1,21021396
0,0,0,1,0,0.00,0,23869573
0,0,0,1,1,0.00,0,22762170
0,0,0,1,2,0.00,0,21668428
0,0,0,1,3,0.00,0,21021396
0,0,0,2,0,0.00,0,23869573
0,0,0,2,1,0.00,0,22762170
0,0,0,2,2,0.00,0,21668428
0,0,0,2,3,0.00,0,21021396
0,0,1,0,0,0.01,3,25158891
0,0,1,0,1,0.00,1,23274066
0,0,1,0,2,0.00,0,22616183
0,0,1,0,3,0.00,0,21497499
0,0,1,1,0,0.00,0,25158891
0,0,1,1,1,0.00,0,23274066
0,0,1,1,2,0.00,0,22616183
0,0,1,1,3,0.00,0,21497499
0,0,1,2,0,0.01,3,25158891
0,0,1,2,1,0.00,1,23274066
0,0,1,2,2,0.00,0,22616183
0,0,1,2,3,0.00,0,21497499
0,0,2,0,0,0.01,4,27371620
0,0,2,0,1,0.00,1,25178088
0,0,2,0,2,0.02,4,23638071
0,0,2,0,3,0.01,3,22487526
0,0,2,1,0,0.00,1,27371620
0,0,2,1,1,0.00,0,25178088
0,0,2,1,2,0.00,0,23638071
0,0,2,1,3,0.01,2,22487526
0,0,2,2,0,0.01,3,27371620
0,0,2,2,1,0.00,1,25178088
0,0,2,2,2,0.01,3,23638071
0,0,2,2,3,0.00,1,22487526
0,0,3,0,0,0.03,9,26914884
0,0,3,0,1,0.05,14,26851415
0,0,3,0,2,0.07,17,24897293
0,0,3,0,3,0.10,24,23503987
0,0,3,1,0,0.02,5,26914884
0,0,3,1,1,0.02,5,26851415
0,0,3,1,2,0.03,7,24897293
0,0,3,1,3,0.07,16,23503987
0,0,3,2,0,0.01,4,26914884
0,0,3,2,1,0.03,9,26851415
0,0,3,2,2,0.04,9,24897293
0,0,3,2,3,0.03,8,23503987
0,0,4,0,0,0.11,28,25615270
0,0,4,0,1,0.14,37,26177679
0,0,4,0,2,0.22,57,26456421
0,0,4,0,3,0.20,50,24973279
0,0,4,1,0,0.07,19,25615270
0,0,4,1,1,0.08,21,26177679
0,0,4,1,2,0.14,36,26456421
0,0,4,1,3,0.13,33,24973279
0,0,4,2,0,0.02,6,25615270
0,0,4,2,1,0.05,14,26177679
0,0,4,2,2,0.07,18,26456421
0,0,4,2,3,0.06,15,24973279
0,0,5,0,0,0.29,72,24526441
0,0,5,0,1,0.27,70,25559243
0,0,5,0,2,0.27,71,26650861
