"IM race_eth","IM All Age Groups","IM Modelling 5-Year Year of Death Groups","Crude Rate","Count","Population"
0,0,0,^,^,56863845
0,0,1,^,^,55064419
0,0,2,^,^,52658288
0,0,3,^,^,51229942
0,1,0,^,^,60030568
0,1,1,^,^,56689611
0,1,2,^,^,55278853
0,1,3,^,^,52876125
0,2,0,^,^,65606080
0,2,1,^,^,61071743
0,2,2,^,^,57820434
0,2,3,^,^,55417701
0,3,0,0.0,12,65329100
0,3,1,^,^,65528463
0,3,2,^,^,60963416
0,3,3,^,^,57999748
0,4,0,0.0,29,61966369
0,4,1,0.0,25,63568352
0,4,2,0.0,32,64494856
0,4,3,0.0,27,61322128
0,5,0,0.1,62,57627591
0,5,1,0.1,67,60609404
0,5,2,0.1,69,62753517
0,5,3,0.1,66,64984125
0,6,0,0.3,187,65691878
0,6,1,0.2,139,57777820
0,6,2,0.2,127,60828621
0,6,3,0.2,135,63017887
0,7,0,0.5,358,73524685
0,7,1,0.5,327,65581047
0,7,2,0.4,255,57930359
0,7,3,0.4,261,60755264
0,8,0,0.1,649,506640116
0,8,1,0.1,563,485890859
0,8,2,0.1,491,472728344
0,8,3,0.1,498,467602920
0,9,0,0.9,714,81148186
0,9,1,0.9,622,72824027
0,9,2,0.8,522,65067956
0,9,3,0.8,442,57647068
0,10,0,1.5,1201,78084740
0,10,1,1.5,1188,80074827
0,10,2,1.4,977,71833564
0,10,3,1.3,812,64359347
0,11,0,2.7,1893,71260716
0,11,1,2.4,1865,77076899
0,11,2,2.3,1843,78910520
0,11,3,2.1,1462,70440038
0,12,0,4.3,2505,58726394
0,12,1,3.5,2472,69852239
0,12,2,3.4,2532,75379073
0,12,3,3.3,2511,76561230
0,13,0,7.0,3215,46114102
0,13,1,5.5,3132,56751869
0,13,2,5.0,3365,67358426
0,13,3,4.6,3338,72221395
0,14,0,10.2,3953,38779995
0,14,1,8.5,3721,43601202
0,14,2,7.0,3761,53820145
0,14,3,6.4,4040,63391859
0,15,0,15.5,5555,35878741
0,15,1,12.4,4343,35030823
0,15,2,10.4,4140,39695560
0,15,3,8.7,4292,49159276
0,16,0,21.2,6674,31526433
0,16,1,17.5,5299,30296395
0,16,2,15.0,4499,29999841
0,16,3,12.4,4281,34411936
0,17,0,28.4,6475,22759852
0,17,1,23.9,5722,23974949
0,17,2,20.0,4716,23534357
0,17,3,17.4,4116,23618799
0,18,0,41.7,7965,19117193
0,18,1,33.0,7146,21655928
0,18,2,28.3,6956,24552857
0,18,3,23.0,5992,26069592
1,0,0,^,^,14649350
1,0,1,^,^,14920032
1,0,2,^,^,15306753
1,0,3,^,^,15262869
1,1,0,^,^,15644051
1,1,1,^,^,14928312
1,1,2,^,^,15258329
1,1,3,^,^,15544629
1,2,0,^,^,16793365
1,2,1,^,^,16371371
1,2,2,^,^,15631176
1,2,3,^,^,15487518
1,3,0,^,^,15397657
1,3,1,^,^,17350351
1,3,2,^,^,16740102
1,3,3,^,^,15920849
1,4,0,0.1,18,14140261
1,4,1,0.1,12,14997499
1,4,2,0.1,19,17164406
1,4,3,0.1,14,17081826
1,5,0,0.3,42,12447534
1,5,1,0.3,35,13561475
1,5,2,0.3,46,14587085
1,5,3,0.3,44,17480446
1,6,0,0.8,100,13112329
1,6,1,0.7,83,12577876
1,6,2,0.5,71,13808058
1,6,3,0.5,73,14887625
1,7,0,1.2,160,13788319
1,7,1,1.2,157,13266305
1,7,2,1.1,137,12837008
1,7,3,1.0,139,13979384
1,8,0,0.3,324,115972866
1,8,1,0.2,291,117973221
1,8,2,0.2,278,121332917
1,8,3,0.2,275,125645146
1,9,0,2.6,362,13974893
1,9,1,2.2,306,13840519
1,9,2,1.8,238,13338276
1,9,3,1.5,199,12878331
1,10,0,4.1,510,12346417
1,10,1,3.6,503,13871450
1,10,2,3.2,443,13710233
1,10,3,2.9,382,13216555
1,11,0,7.3,740,10201361
1,11,1,5.9,724,12276694
1,11,2,5.5,760,13721168
1,11,3,4.8,639,13393606
1,12,0,10.3,757,7367648
1,12,1,9.1,900,9937585
1,12,2,8.3,990,11919745
1,12,3,7.4,978,13174200
1,13,0,16.8,952,5683122
1,13,1,13.8,969,7002629
1,13,2,12.0,1126,9386653
1,13,3,11.0,1235,11197631
1,14,0,25.7,1192,4635501
1,14,1,21.0,1105,5261620
1,14,2,17.2,1122,6514600
1,14,3,15.1,1299,8598136
1,15,0,35.7,1331,3726077
1,15,1,29.2,1177,4025833
1,15,2,27.9,1287,4607980
1,15,3,20.8,1206,5789758
1,16,0,50.8,1454,2864594
1,16,1,43.4,1295,2984250
1,16,2,36.2,1192,3292008
1,16,3,29.9,1162,3884913
