yr00_04,yr05_09,yr10_14,yr15_19,yr20_24,yr25_29,yr30_34
NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,0,0,0
10,NA,NA,NA,0,0,0
16,15,12,10,27.204430519105088,27.96466455698576,28.988485450355608
22,26,27,15,51.67760829541381,57.69493747714211,59.40021758210491
41,42,42,31,23.810601816077444,7.296819505956504,1.378480779797854
73,66,58,36,56.16162555463827,21.51496074878492,6.319013210162832
80,91,96,53,65.87179920631546,48.4109674906428,17.8288721453556
114,115,127,85,93.27244623423915,60.61994246001601,44.153180502016816
141,147,149,107,131.84273158576536,76.69148070857759,48.466049812618515
214,197,166,109,158.4560854853699,102.5897548782025,57.7793328196911
295,275,221,127,169.55719445320872,127.79064499292565,81.17367802284721
368,286,234,151,165.87920147844056,108.16303387697278,78.88296219772073
284,326,242,162,169.80011787788698,101.78491666771701,63.28326696431273
254,293,300,264,209.7880332883082,121.50399131133615,67.10330402591651
