"IM Race-Ethnicity no Unknown","18_Age Categories for NordPred","IM Subsite","IM Histology with All","IM 5-year LATEST","Age-Adjusted Rate","Count","Population"
0,0,0,0,0,^,^,347688122
0,0,0,0,1,^,^,346283967
0,0,0,0,2,^,^,347280455
0,0,0,0,3,^,^,346452871
0,0,0,1,0,^,^,347688122
0,0,0,1,1,^,^,346283967
0,0,0,1,2,^,^,347280455
0,0,0,1,3,^,^,346452871
0,0,0,2,0,^,^,347688122
0,0,0,2,1,^,^,346283967
0,0,0,2,2,^,^,347280455
0,0,0,2,3,^,^,346452871
0,0,0,3,0,^,^,347688122
0,0,0,3,1,^,^,346283967
0,0,0,3,2,^,^,347280455
0,0,0,3,3,^,^,346452871
0,0,1,0,0,^,^,347688122
0,0,1,0,1,^,^,346283967
0,0,1,0,2,^,^,347280455
0,0,1,0,3,^,^,346452871
0,0,1,1,0,^,^,347688122
0,0,1,1,1,^,^,346283967
0,0,1,1,2,^,^,347280455
0,0,1,1,3,^,^,346452871
0,0,1,2,0,^,^,347688122
0,0,1,2,1,^,^,346283967
0,0,1,2,2,^,^,347280455
0,0,1,2,3,^,^,346452871
0,0,1,3,0,^,^,347688122
0,0,1,3,1,^,^,346283967
0,0,1,3,2,^,^,347280455
0,0,1,3,3,^,^,346452871
0,0,2,0,0,^,^,347688122
0,0,2,0,1,^,^,346283967
0,0,2,0,2,^,^,347280455
0,0,2,0,3,^,^,346452871
0,0,2,1,0,^,^,347688122
0,0,2,1,1,^,^,346283967
0,0,2,1,2,^,^,347280455
0,0,2,1,3,^,^,346452871
0,0,2,2,0,^,^,347688122
0,0,2,2,1,^,^,346283967
0,0,2,2,2,^,^,347280455
0,0,2,2,3,^,^,346452871
0,0,2,3,0,^,^,347688122
0,0,2,3,1,^,^,346283967
0,0,2,3,2,^,^,347280455
0,0,2,3,3,^,^,346452871
0,0,3,0,0,^,^,347688122
0,0,3,0,1,^,^,346283967
0,0,3,0,2,^,^,347280455
0,0,3,0,3,^,^,346452871
0,0,3,1,0,^,^,347688122
0,0,3,1,1,^,^,346283967
0,0,3,1,2,^,^,347280455
0,0,3,1,3,^,^,346452871
0,0,3,2,0,^,^,347688122
0,0,3,2,1,^,^,346283967
0,0,3,2,2,^,^,347280455
0,0,3,2,3,^,^,346452871
0,0,3,3,0,^,^,347688122
0,0,3,3,1,^,^,346283967
0,0,3,3,2,^,^,347280455
0,0,3,3,3,^,^,346452871
0,1,0,0,0,^,^,347688122
0,1,0,0,1,^,^,346283967
0,1,0,0,2,^,^,347280455
0,1,0,0,3,^,^,346452871
0,1,0,1,0,^,^,347688122
0,1,0,1,1,^,^,346283967
0,1,0,1,2,^,^,347280455
0,1,0,1,3,^,^,346452871
0,1,0,2,0,^,^,347688122
0,1,0,2,1,^,^,346283967
0,1,0,2,2,^,^,347280455
0,1,0,2,3,^,^,346452871
0,1,0,3,0,^,^,347688122
0,1,0,3,1,^,^,346283967
0,1,0,3,2,^,^,347280455
0,1,0,3,3,^,^,346452871
0,1,1,0,0,^,^,347688122
0,1,1,0,1,^,^,346283967
0,1,1,0,2,^,^,347280455
0,1,1,0,3,^,^,346452871
0,1,1,1,0,^,^,347688122
0,1,1,1,1,^,^,346283967
0,1,1,1,2,^,^,347280455
0,1,1,1,3,^,^,346452871
0,1,1,2,0,^,^,347688122
0,1,1,2,1,^,^,346283967
0,1,1,2,2,^,^,347280455
0,1,1,2,3,^,^,346452871
0,1,1,3,0,^,^,347688122
0,1,1,3,1,^,^,346283967
0,1,1,3,2,^,^,347280455
0,1,1,3,3,^,^,346452871
0,1,2,0,0,^,^,347688122
0,1,2,0,1,^,^,346283967
0,1,2,0,2,^,^,347280455
0,1,2,0,3,^,^,346452871
0,1,2,1,0,^,^,347688122
0,1,2,1,1,^,^,346283967
0,1,2,1,2,^,^,347280455
0,1,2,1,3,^,^,346452871
0,1,2,2,0,^,^,347688122
0,1,2,2,1,^,^,346283967
0,1,2,2,2,^,^,347280455
0,1,2,2,3,^,^,346452871
0,1,2,3,0,^,^,347688122
0,1,2,3,1,^,^,346283967
0,1,2,3,2,^,^,347280455
0,1,2,3,3,^,^,346452871
0,1,3,0,0,^,^,347688122
