racial_ethnic_group,age_group,baseline_mortality_per_100k,chi_hp,chi_screen,p_hp_effectiveness,r_hp,r_screen,im_attributable_effect,total_intervention_effect,mortality_reduction_per_100k,percent_reduction
Non-Hispanic White,<40,0.04,0.9,0.9,0.9,0.74027,0.64,0.3643678774,0.3643678774,0.025425284904,63.56321226
Non-Hispanic White,40-44,0.01,0.9,0.9,0.9,0.74027,0.64,0.3377068132,0.3377068132,0.006622931868,66.22931868
Non-Hispanic White,45-49,0.03,0.9,0.9,0.9,0.74027,0.64,0.3288255408,0.3288255408,0.020135233776,67.11744592
Non-Hispanic White,50-54,0.1,0.9,0.9,0.9,0.74027,0.64,0.31969149799999996,0.31969149799999996,0.0680308502,68.0308502
Non-Hispanic White,55-59,0.2,0.9,0.9,0.9,0.74027,0.64,0.23493086179999997,0.23493086179999997,0.15301382764000002,76.50691382
Non-Hispanic White,60-64,0.36,0.9,0.9,0.9,0.74027,0.64,0.24665873920000003,0.24665873920000003,0.271202853888,75.33412607999999
Non-Hispanic White,65-69,0.49,0.9,0.9,0.9,0.74027,0.64,0.2277906536,0.2277906536,0.378382579736,77.22093464
Non-Hispanic White,70-74,0.69,0.9,0.9,0.9,0.74027,0.64,0.245301896,0.245301896,0.52074169176,75.4698104
Non-Hispanic White,75-79,0.87,0.9,0.9,0.9,0.74027,0.64,0.2873536496,0.2873536496,0.620002324848,71.26463504
Non-Hispanic White,80-84,1.2,0.9,0.9,0.9,0.74027,0.64,0.3225507516,0.3225507516,0.81293909808,67.74492484
Non-Hispanic White,85+,1.46,0.9,0.9,0.9,0.74027,0.64,0.3817947672,0.3817947672,0.9025796398879999,61.820523279999996
Non-Hispanic Black,<40,0.1,0.9,0.9,0.9,0.74027,0.64,0.4926544823999999,0.4926544823999999,0.05073455176000001,50.73455176
Non-Hispanic Black,40-44,0.04,0.9,0.9,0.9,0.74027,0.64,0.45867831119999997,0.45867831119999997,0.021652867552,54.132168879999995
Non-Hispanic Black,45-49,0.14,0.9,0.9,0.9,0.74027,0.64,0.43110426839999993,0.43110426839999993,0.07964540242400002,56.889573160000005
Non-Hispanic Black,50-54,0.34,0.9,0.9,0.9,0.74027,0.64,0.42297022559999997,0.42297022559999997,0.19619012329600002,57.702977440000005
Non-Hispanic Black,55-59,0.77,0.9,0.9,0.9,0.74027,0.64,0.4489817236,0.4489817236,0.424284072828,55.10182764
Non-Hispanic Black,60-64,1.08,0.9,0.9,0.9,0.74027,0.64,0.464463852,0.464463852,0.57837903984,53.553614800000005
Non-Hispanic Black,65-69,1.48,0.9,0.9,0.9,0.74027,0.64,0.4261889648,0.4261889648,0.8492403320959999,57.381103519999996
Non-Hispanic Black,70-74,2.47,0.9,0.9,0.9,0.74027,0.64,0.4247540892,0.4247540892,1.420857399676,57.52459108
Non-Hispanic Black,75-79,2.69,0.9,0.9,0.9,0.74027,0.64,0.45172260280000004,0.45172260280000004,1.4748661984679998,54.82773971999999
Non-Hispanic Black,80-84,3.3,0.9,0.9,0.9,0.74027,0.64,0.45476432640000003,0.45476432640000003,1.7992777228799999,54.52356736
Non-Hispanic Black,85+,4.45,0.9,0.9,0.9,0.74027,0.64,0.4863451824,0.4863451824,2.28576393832,51.365481759999994
Non-Hispanic American Indian/Alaskan Native,40-44,0,0.9,0.9,0.9,0.74027,0.64,0,0,0,NA
Non-Hispanic American Indian/Alaskan Native,45-49,0,0.9,0.9,0.9,0.74027,0.64,0,0,0,NA
Non-Hispanic American Indian/Alaskan Native,50-54,0,0.9,0.9,0.9,0.74027,0.64,0,0,0,NA
Non-Hispanic American Indian/Alaskan Native,55-59,0,0.9,0.9,0.9,0.74027,0.64,0,0,0,NA
Non-Hispanic American Indian/Alaskan Native,60-64,0,0.9,0.9,0.9,0.74027,0.64,0.40253533840000005,0.40253533840000005,0,NA
Non-Hispanic American Indian/Alaskan Native,65-69,0,0.9,0.9,0.9,0.74027,0.64,0,0,0,NA
Non-Hispanic American Indian/Alaskan Native,70-74,0.03,0.9,0.9,0.9,0.74027,0.64,0,0,0.03,100
Non-Hispanic American Indian/Alaskan Native,75-79,0,0.9,0.9,0.9,0.74027,0.64,0,0,0,NA
Non-Hispanic American Indian/Alaskan Native,80-84,0,0.9,0.9,0.9,0.74027,0.64,0,0,0,NA
Non-Hispanic American Indian/Alaskan Native,85+,0,0.9,0.9,0.9,0.74027,0.64,0,0,0,NA
Non-Hispanic Asian/Pacific Islander,<40,0.14,0.9,0.9,0.9,0.74027,0.64,0.5856510815999999,0.5856510815999999,0.05800884857600001,41.434891840000006
Non-Hispanic Asian/Pacific Islander,40-44,0.01,0.9,0.9,0.9,0.74027,0.64,0.5693829959999999,0.5693829959999999,0.004306170040000001,43.061700400000014
Non-Hispanic Asian/Pacific Islander,45-49,0.07,0.9,0.9,0.9,0.74027,0.64,0.5208608675999999,0.5208608675999999,0.03353973926800001,47.913913240000014
Non-Hispanic Asian/Pacific Islander,50-54,0.21,0.9,0.9,0.9,0.74027,0.64,0.5364089531999999,0.5364089531999999,0.09735411982800002,46.359104680000016
Non-Hispanic Asian/Pacific Islander,55-59,0.57,0.9,0.9,0.9,0.74027,0.64,0.5217140776,0.5217140776,0.272622975768,47.82859224
Non-Hispanic Asian/Pacific Islander,60-64,0.69,0.9,0.9,0.9,0.74027,0.64,0.5070179064,0.5070179064,0.340157644584,49.29820936000001
Non-Hispanic Asian/Pacific Islander,65-69,0.96,0.9,0.9,0.9,0.74027,0.64,0.484548988,0.484548988,0.49483297151999994,51.5451012
Non-Hispanic Asian/Pacific Islander,70-74,1.58,0.9,0.9,0.9,0.74027,0.64,0.4854332448,0.4854332448,0.8130154732160001,51.456675520000005
Non-Hispanic Asian/Pacific Islander,75-79,1.92,0.9,0.9,0.9,0.74027,0.64,0.503186235,0.503186235,0.9538824287999998,49.6813765
Non-Hispanic Asian/Pacific Islander,80-84,2.18,0.9,0.9,0.9,0.74027,0.64,0.49897752480000007,0.49897752480000007,1.0922289959359999,50.102247519999985
